Date Created,Tweet
2022-12-11 15:45:17+00:00,"Sahabat, tingkatkan usaha kamu jadi lebih maju dengan Kredit Usaha Rakyat (KUR) dari Bank Mandiri.

Dapetin benefit suku bunga 6... https://t.co/x0ikH8dTW0 #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/ezp9pgIfQq"
2022-12-11 08:06:04+00:00,"Nikmati kemudahan pilihan transaksi antar negara dengan Local Currency Settlement via e-Fx Kopra by Mandiri.

Dapatkan juga pili... https://t.co/YzGYo4Pgjz #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/uIiXWR8xXr"
2022-12-11 08:06:03+00:00,"Untuk Sahabat pemegang #mandiridebit Prioritas dan Private, dapatkan diskon spesial untuk layanan kesehatan berkualitas di jarin... https://t.co/1teB7B3IU5 #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/uIiXWR8xXr"
2022-12-11 08:06:02+00:00,"Sahabat, tingkatkan usaha kamu jadi lebih maju dengan Kredit Usaha Rakyat (KUR) dari Bank Mandiri.

Dapetin benefit suku bunga 6... https://t.co/6sAbwF74Ph #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/uIiXWR8xXr"
2022-12-11 01:25:36+00:00,"bbca,bbni,bbri,bmri,sido https://t.co/EZ3eDIEhNU"
2022-12-10 07:04:43+00:00,"Sahabat, waspada modus penipuan menggunakan link yang mengarahkan ke aplikasi Livin' by Mandiri palsu.

Pastikan mengunduh, logi... https://t.co/0e1sEBobqd #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/Dnm0PcCsK1"
2022-12-10 07:04:43+00:00,"Serunya sambut Natal dengan belanja di SOGO! Dapetin shopping voucher s/d Rp1,2 juta tiap transaksi pakai #MandiriDebit atau #Ma... https://t.co/xiQVdy4eTB #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/Dnm0PcCsK1"
2022-12-10 00:09:09+00:00,"#kafein beberapa ssham terutama market leader naiknya sudah kebanyakan, wajar saja tergerus aksi profit diantaranya : #bbca #bbri #bmri jadi wajar, hanya #asii yg berlebihan sdgkan #tlkm tergerus sentimen negatif.

Indofood yg diamw malah melesat dlm senyap."
2022-12-09 10:31:10+00:00,"@sbyfess S3 marketing tah min.
Kalo main indodax bisa cepet pasive income nya paling ga sehari 50rb. Jalur lainnya capitalize saham pake bbca, adaro, bmri"
2022-12-09 06:58:55+00:00,"Komposisi kepemilikan saham di $BRIS pasca rights issue:
1. $BMRI 52,2%
2. $BBNI 23,87%
3. $BBRI 15,79%
Per Sep'22 CAR $BRIS ada di level 17,19%, menurun dari 22,75% YoY.
#bebipinter #bank #BI #Jumat #rightissue #BLACKPINK"
2022-12-09 06:50:17+00:00,"$BRIS akan menerbitkan saham baru sebanyak 4,99 miliar saham seri B di harga pelaksanaan Rp 1.000/saham dengan dana yang dihimpun mencapai Rp4,99 triliun.
$BMRI memiliki saham $BRIS sebesar 50,83% akan mengambil 2,54 miliar saham baru yang diterbitkan senilai Rp 2,54 triliun."
2022-12-09 05:07:06+00:00,"Sahabat, ajuin proses kredit kendaraan bermotor spesial Hari Pahlawan sekarang yuk!

Dapetin suku bunga mulai dari 2,24%, DP rin... https://t.co/gO5EAiiTiv #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/yGf4MKhd33"
2022-12-09 02:26:10+00:00,"BMRI - ACCUM BUY

Berada di Bottoming Area berpotensi 
terjadinya penguatan. Area beli terbaik pada 9900-10100. Stoploss jika Closing di bawah level 9850 https://t.co/3lqQB3gB4Q"
2022-12-09 01:31:06+00:00,"IHSG Hari Ini Bisa Hijau, Cermati Saham BMRI, PGAS hingga TBIG https://t.co/0FybVxSdRY"
