"","BBNI.JK","BBRI.JK","BBTN.JK","BMRI.JK"
"2021-05-07",5498.543457,3895.575684,1593.931396,5679.23877
"2021-05-10",5473.996094,3895.575684,1618.605347,5703.101074
"2021-05-11",5424.902344,3837.863525,1608.735718,5631.51416
"2021-05-17",5400.35498,3751.295166,1564.322754,5655.376465
"2021-05-18",5351.26123,3751.295166,1554.453247,5631.51416
"2021-05-19",5154.884277,3722.438965,1529.779419,5416.75293
"2021-05-20",5154.884277,3732.057617,1529.779419,5392.890625
"2021-05-21",5228.525879,3741.676514,1534.714111,5559.927246
"2021-05-24",5203.978516,3885.957031,1514.975098,5488.340332
"2021-05-25",5228.525879,3905.194336,1554.453247,5631.51416
"2021-05-27",5056.696289,3799.388672,1574.192383,5488.340332
"2021-05-28",5105.790527,3914.813232,1569.257568,5536.064941
"2021-05-31",5302.166992,4097.568359,1613.670532,5726.963867
"2021-06-02",5449.449219,4097.568359,1618.605347,5822.413086
"2021-06-03",5645.825684,4193.755371,1623.540039,5965.586914
"2021-06-04",5523.090332,4174.518066,1618.605347,5846.275391
"2021-06-07",5424.902344,4087.949951,1584.06189,5846.275391
"2021-06-08",5424.902344,4039.856201,1579.127075,5726.963867
"2021-06-09",5523.090332,4059.09375,1584.06189,5870.137695
"2021-06-10",5572.18457,4136.043457,1569.257568,5917.862305
"2021-06-11",5572.18457,4116.806152,1579.127075,5989.449707
"2021-06-14",5449.449219,4184.136719,1549.518433,5989.449707
"2021-06-15",5424.902344,4068.712402,1534.714111,6037.174316
"2021-06-16",5277.619629,3857.10083,1534.714111,5989.449707
"2021-06-17",5154.884277,3876.338379,1519.909912,5917.862305
"2021-06-18",4850.500977,3760.913818,1450.822998,5917.862305
"2021-06-21",4879.957031,3789.77002,1391.605835,5750.826172
"2021-06-22",4860.319824,3885.957031,1436.018677,5894
"2021-06-23",4762.131348,3789.77002,1406.410034,5750.826172
"2021-06-24",4732.674805,3837.863525,1396.540527,5703.101074
"2021-06-25",4673.761719,3837.863525,1361.997192,5631.51416
"2021-06-28",4497.022949,3780.151367,1317.584229,5440.615234
"2021-06-29",4497.022949,3751.295166,1312.649414,5512.202637
"2021-06-30",4546.117188,3789.77002,1352.127563,5631.51416
"2021-07-01",4614.849121,3789.77002,1342.258057,5703.101074
"2021-07-02",4742.493652,3837.863525,1361.997192,5679.23877
"2021-07-05",4634.486816,3751.295166,1337.323242,5583.789551
"2021-07-06",4624.667969,3741.676514,1332.38855,5512.202637
"2021-07-07",4644.305176,3674.345459,1327.453735,5488.340332
"2021-07-08",4673.761719,3722.438965,1327.453735,5631.51416
"2021-07-09",4555.936035,3655.108154,1317.584229,5512.202637
"2021-07-12",4614.849121,3616.633301,1278.105957,5536.064941
"2021-07-13",4585.392578,3635.870605,1258.366943,5512.202637
"2021-07-14",4497.022949,3568.539795,1213.953979,5440.615234
"2021-07-15",4634.486816,3664.726807,1268.23645,5607.651855
"2021-07-16",4722.855957,3693.583008,1297.845093,5607.651855
"2021-07-19",4732.674805,3635.870605,1273.171265,5488.340332
"2021-07-21",4811.225586,3674.345459,1302.779907,5655.376465
"2021-07-22",5056.696289,3751.295166,1347.192871,5774.688477
"2021-07-23",4983.055176,3722.438965,1337.323242,5703.101074
"2021-07-26",4958.507813,3683.964111,1337.323242,5536.064941
"2021-07-27",4933.960938,3655.108154,1322.518921,5559.927246
"2021-07-28",4870.138672,3587.7771,1292.910278,5631.51416
"2021-07-29",4840.682129,3626.251953,1332.38855,5488.340332
"2021-07-30",4693.399414,3568.539795,1297.845093,5440.615234
"2021-08-02",4732.674805,3597.395752,1268.23645,5416.75293
"2021-08-03",4860.319824,3607.014648,1297.845093,5512.202637
"2021-08-04",4958.507813,3703.20166,1322.518921,5559.927246
"2021-08-05",5105.790527,3895.575684,1406.410034,5774.688477
"2021-08-06",5032.148926,3780.151367,1371.866699,5703.101074
"2021-08-09",4889.775879,3703.20166,1347.192871,5536.064941
"2021-08-10",4899.594727,3674.345459,1357.062378,5536.064941
"2021-08-12",4983.055176,3664.726807,1352.127563,5655.376465
"2021-08-13",5007.602051,3722.438965,1352.127563,5726.963867
"2021-08-16",5056.696289,3780.151367,1357.062378,5703.101074
"2021-08-18",5326.713867,3914.813232,1406.410034,5774.688477
"2021-08-19",5203.978516,3732.057617,1352.127563,5583.789551
"2021-08-20",5326.713867,3780.151367,1376.801514,5631.51416
"2021-08-23",5253.072754,3809.007324,1411.344849,5703.101074
"2021-08-24",5228.525879,3741.676514,1386.671021,5559.927246
"2021-08-25",5154.884277,3401.465332,1381.736206,5679.23877
"2021-08-26",5130.337402,3383.977051,1371.866699,5559.927246
"2021-08-27",5203.978516,3357.744629,1381.736206,5536.064941
"2021-08-30",5302.166992,3445.186035,1401.475342,5679.23877
"2021-08-31",5302.166992,3436.44165,1386.671021,5822.413086
"2021-09-01",5228.525879,3401.465332,1386.671021,5726.963867
"2021-09-02",5154.884277,3383.977051,1406.410034,5774.688477
"2021-09-03",5351.26123,3436.44165,1416.279663,5846.275391
"2021-09-06",5351.26123,3366.48877,1440.953491,5917.862305
"2021-09-07",5302.166992,3418.953613,1421.214355,5965.586914
"2021-09-08",5228.525879,3587.7771,1391.605835,5965.586914
"2021-09-09",5302.166992,3587.7771,1396.540527,6061.036621
"2021-09-10",5351.26123,3635.870605,1416.279663,5917.862305
"2021-09-13",5302.166992,3558.921143,1421.214355,5870.137695
